X,Y,Z,formation
1.371444574,0.5,0.559647302,Top Hume Fm
1.47100063,0.5,0.565720037,Top Hume Fm
1.59202956,0.5,0.563553265,Top Hume Fm
1.79504583,0.5,0.581859874,Top Hume Fm
1.908266442,0.5,0.579700318,Top Hume Fm
1.984397544,0.5,0.581684872,Top Hume Fm
0.04598258,0.8,0.758144201,Top Hume Fm
0.116257443,0.8,0.803287393,Top Hume Fm
0.186532306,0.8,0.844320754,Top Hume Fm
0.264615486,0.8,0.860687912,Top Hume Fm
0.340746588,0.8,0.862672466,Top Hume Fm
0.41102145,0.8,0.835893616,Top Hume Fm
0.418829769,0.8,0.766019272,Top Hume Fm
0.502769188,0.8,0.792655596,Top Hume Fm
0.586708607,0.8,0.811072257,Top Hume Fm
0.660887629,0.8,0.804838953,Top Hume Fm
0.742874969,0.8,0.778049278,Top Hume Fm
0.799485275,0.8,0.749228141,Top Hume Fm
0.621846039,0.8,0.661030951,Top Hume Fm
0.709689617,0.8,0.667114511,Top Hume Fm
0.817053991,0.8,0.664960368,Top Hume Fm
0.916610046,0.8,0.648429033,Top Hume Fm
0.996645306,0.8,0.629860824,Top Hume Fm
0.897089251,0.8,0.541591468,Top Hume Fm
1.004453625,0.8,0.543547156,Top Hume Fm
1.129386714,0.8,0.545486607,Top Hume Fm
1.256271883,0.8,0.549479168,Top Hume Fm
1.371444574,0.8,0.559647302,Top Hume Fm
1.47100063,0.8,0.565720037,Top Hume Fm
1.59202956,0.8,0.563553265,Top Hume Fm
1.79504583,0.8,0.581859874,Top Hume Fm
1.908266442,0.8,0.579700318,Top Hume Fm
1.984397544,0.8,0.581684872,Top Hume Fm
0.014749308,0.2,0.626658475,Top Proterozoic
0.083072091,0.2,0.64508957,Top Proterozoic
0.147490715,0.2,0.679963597,Top Proterozoic
0.217765578,0.2,0.723051873,Top Proterozoic
0.295848759,0.2,0.747638694,Top Proterozoic
0.346602826,0.2,0.739372124,Top Proterozoic
0.284136282,0.2,0.63257425,Top Proterozoic
0.37197986,0.2,0.644822557,Top Proterozoic
0.461775518,0.2,0.65706906,Top Proterozoic
0.557427414,0.2,0.667255234,Top Proterozoic
0.379788178,0.2,0.529740072,Top Proterozoic
0.459823438,0.2,0.529666103,Top Proterozoic
0.543762858,0.2,0.529588525,Top Proterozoic
0.608181482,0.2,0.539803565,Top Proterozoic
0.645270993,0.2,0.391815371,Top Proterozoic
0.762395764,0.2,0.391707122,Top Proterozoic
0.887328853,0.2,0.397756404,Top Proterozoic
0.998597386,0.2,0.399708483,Top Proterozoic
1.113770078,0.2,0.407821701,Top Proterozoic
1.232846928,0.2,0.413876395,Top Proterozoic
1.357780018,0.2,0.436365001,Top Proterozoic
1.474904789,0.2,0.448586245,Top Proterozoic
1.597885799,0.2,0.454637331,Top Proterozoic
1.720866808,0.2,0.450413839,Top Proterozoic
1.855560295,0.2,0.448234438,Top Proterozoic
1.964876748,0.2,0.456353068,Top Proterozoic
0.014749308,0.5,0.626658475,Top Proterozoic
0.083072091,0.5,0.64508957,Top Proterozoic
0.147490715,0.5,0.679963597,Top Proterozoic
0.217765578,0.5,0.723051873,Top Proterozoic
0.295848759,0.5,0.747638694,Top Proterozoic
0.346602826,0.5,0.739372124,Top Proterozoic
0.284136282,0.5,0.63257425,Top Proterozoic
0.37197986,0.5,0.644822557,Top Proterozoic
0.461775518,0.5,0.65706906,Top Proterozoic
0.557427414,0.5,0.667255234,Top Proterozoic
0.379788178,0.5,0.529740072,Top Proterozoic
0.459823438,0.5,0.529666103,Top Proterozoic
0.543762858,0.5,0.529588525,Top Proterozoic
0.608181482,0.5,0.539803565,Top Proterozoic
0.645270993,0.5,0.391815371,Top Proterozoic
0.762395764,0.5,0.391707122,Top Proterozoic
0.887328853,0.5,0.397756404,Top Proterozoic
0.998597386,0.5,0.399708483,Top Proterozoic
1.113770078,0.5,0.407821701,Top Proterozoic
1.232846928,0.5,0.413876395,Top Proterozoic
1.357780018,0.5,0.436365001,Top Proterozoic
1.474904789,0.5,0.448586245,Top Proterozoic
1.597885799,0.5,0.454637331,Top Proterozoic
1.720866808,0.5,0.450413839,Top Proterozoic
1.855560295,0.5,0.448234438,Top Proterozoic
1.964876748,0.5,0.456353068,Top Proterozoic
0.014749308,0.8,0.626658475,Top Proterozoic
0.083072091,0.8,0.64508957,Top Proterozoic
0.147490715,0.8,0.679963597,Top Proterozoic
0.217765578,0.8,0.723051873,Top Proterozoic
0.295848759,0.8,0.747638694,Top Proterozoic
0.346602826,0.8,0.739372124,Top Proterozoic
0.284136282,0.8,0.63257425,Top Proterozoic
0.37197986,0.8,0.644822557,Top Proterozoic
0.461775518,0.8,0.65706906,Top Proterozoic
0.557427414,0.8,0.667255234,Top Proterozoic
0.379788178,0.8,0.529740072,Top Proterozoic
0.459823438,0.8,0.529666103,Top Proterozoic
0.543762858,0.8,0.529588525,Top Proterozoic
0.608181482,0.8,0.539803565,Top Proterozoic
0.645270993,0.8,0.391815371,Top Proterozoic
0.762395764,0.8,0.391707122,Top Proterozoic
0.887328853,0.8,0.397756404,Top Proterozoic
0.998597386,0.8,0.399708483,Top Proterozoic
1.113770078,0.8,0.407821701,Top Proterozoic
1.232846928,0.8,0.413876395,Top Proterozoic
1.357780018,0.8,0.436365001,Top Proterozoic
1.474904789,0.8,0.448586245,Top Proterozoic
1.597885799,0.8,0.454637331,Top Proterozoic
1.720866808,0.8,0.450413839,Top Proterozoic
1.855560295,0.8,0.448234438,Top Proterozoic
1.964876748,0.8,0.456353068,Top Proterozoic
0.01404741,0.2,0.486123801,fault1
0.077260755,0.2,0.513791811,fault1
0.142230026,0.2,0.550700342,fault1
0.200175593,0.2,0.598705938,fault1
0.256365233,0.2,0.644864727,fault1
0.316066725,0.2,0.689171842,fault1
0.363476734,0.2,0.737187175,fault1
0.417910448,0.2,0.798135018,fault1
0.46356453,0.2,0.849848831,fault1
0.51975417,0.2,0.907098194,fault1
0.01404741,0.5,0.486123801,fault1
0.077260755,0.5,0.513791811,fault1
0.142230026,0.5,0.550700342,fault1
0.200175593,0.5,0.598705938,fault1
0.256365233,0.5,0.644864727,fault1
0.316066725,0.5,0.689171842,fault1
0.363476734,0.5,0.737187175,fault1
0.417910448,0.5,0.798135018,fault1
0.46356453,0.5,0.849848831,fault1
0.51975417,0.5,0.907098194,fault1
0.01404741,0.8,0.486123801,fault1
0.077260755,0.8,0.513791811,fault1
0.142230026,0.8,0.550700342,fault1
0.200175593,0.8,0.598705938,fault1
0.256365233,0.8,0.644864727,fault1
0.316066725,0.8,0.689171842,fault1
0.363476734,0.8,0.737187175,fault1
0.417910448,0.8,0.798135018,fault1
0.46356453,0.8,0.849848831,fault1
0.51975417,0.8,0.907098194,fault1
0.010535558,0.2,0.414038322,fault2
0.093064091,0.2,0.434294765,fault2
0.177348551,0.2,0.46379173,fault2
0.261633011,0.2,0.502530838,fault2
0.354697103,0.2,0.541261833,fault2
0.444249342,0.2,0.592935075,fault2
0.537313433,0.2,0.637211355,fault2
0.612818262,0.2,0.675958578,fault2
0.714661984,0.2,0.716529887,fault2
0.811237928,0.2,0.73307649,fault2
0.010535558,0.5,0.414038322,fault2
0.093064091,0.5,0.434294765,fault2
0.177348551,0.5,0.46379173,fault2
0.261633011,0.5,0.502530838,fault2
0.354697103,0.5,0.541261833,fault2
0.444249342,0.5,0.592935075,fault2
0.537313433,0.5,0.637211355,fault2
0.612818262,0.5,0.675958578,fault2
0.714661984,0.5,0.716529887,fault2
0.811237928,0.5,0.73307649,fault2
0.010535558,0.8,0.414038322,fault2
0.093064091,0.8,0.434294765,fault2
0.177348551,0.8,0.46379173,fault2
0.261633011,0.8,0.502530838,fault2
0.354697103,0.8,0.541261833,fault2
0.444249342,0.8,0.592935075,fault2
0.537313433,0.8,0.637211355,fault2
0.612818262,0.8,0.675958578,fault2
0.714661984,0.8,0.716529887,fault2
0.811237928,0.8,0.73307649,fault2
0.012291484,0.2,0.329008973,fault3
0.110623354,0.2,0.34925081,fault3
0.22475856,0.2,0.386113902,fault3
0.330114135,0.2,0.426681965,fault3
0.453028973,0.2,0.465385371,fault3
